;cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value;cluster;pca1;pca2
0;295436;21;18;18500.832835820896;1239555.8;388517.48955223884;1;0.6417627723460854;-0.11625691005364608
1;545114;26;7;18819.57868852459;1147994.3;489309.0459016394;1;1.423234762425987;-0.2859543316570798
2;581825;33;16;18058.399980392158;1841956.798;595927.1993529412;1;2.27053922326576;-0.8317200349671311
3;586834;20;51;17514.719019230768;910765.389;350294.3803846154;1;0.32921365634538396;-0.32066888983329933
4;593670;7;17;13937.145727272728;153308.603;97560.02009090909;0;-1.9223897864917587;-0.6120737870377098
5;620981;26;9;21593.697200000002;1079684.86;561436.1272000001;1;1.9624683546763741;0.42463736317861545
6;639377;4;56;23497.054615384615;305461.71;93988.21846153846;2;-1.2613442307855405;2.0568758054648586
7;651156;13;10;20206.99157894737;383932.84;262690.89052631584;2;-0.264167229681631;0.7307522273090586
8;657907;27;2;21630.88839285714;1211329.75;584033.9866071428;1;2.12578625488658;0.38279078777283887
9;690568;10;50;16222.568823529411;275783.67;162225.6882352941;0;-1.2421028158375969;-0.15973775396269357
10;690946;27;14;17699.187955445545;1787617.9835;477878.0747970297;1;1.3462349181077586;-0.6229289682451206
11;691677;7;7;14602.8225;175233.87;102219.7575;0;-1.8422357257956605;-0.43709834270798303
12;716460;6;88;18487.425;147899.4;110924.54999999999;2;-1.5183418279551781;0.6342470058278967
13;719019;12;22;16045.229166666666;192542.75;192542.75;0;-0.9968420330046438;-0.30496950488574
14;719289;24;4;21081.646296296294;569204.45;505959.51111111103;1;1.5550350673441888;0.3958339931993328
15;741117;14;7;13036.979057692308;338961.4555;182517.7068076923;0;-1.1723610531749225;-1.1870745898134694
16;744985;30;15;21755.914729729728;1609937.69;652677.4418918919;1;2.6203019011523945;0.2605205592814142
17;759600;10;71;14574.596;218618.94;145745.96;0;-1.4597825538844442;-0.5911689495265157
18;781021;19;50;20995.940416666668;1007805.14;398922.86791666667;1;0.7709593388927217;0.6295654843046854
19;797842;19;11;16008.439890243902;656346.0355;304160.35791463417;0;-0.06259139968204887;-0.6603017942705495
