cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
608474;32;20;65022.56583589744;7607640.2028;2080722.106748718
647406;32;7;59211.635136322875;13204194.635400001;1894772.324362332
722447;13;57;106997.74469444444;7703837.618;1390970.6810277777
1228994;30;12;57481.99083760684;6725392.928;1724459.7251282053
2483269;28;7;61849.64886206896;3587279.634;1731790.168137931
3132686;10;14;62666.89653333334;752002.7584;626668.9653333334
3359969;7;64;67780.92153846154;881151.98;474466.4507692308
3363880;24;7;95453.49403283582;6395384.1002;2290883.8567880597
3364220;10;42;68688.48906666666;1030327.336;686884.8906666667
3369198;23;26;67628.88765591398;6289486.552;1555464.4160860213
3378469;32;6;90712.88650340136;13334794.316;2902812.3681088435
3394537;29;1;65304.323508474576;7705910.174;1893825.3817457627
3401254;17;19;105045.5961551724;3046322.2885;1785775.134637931
3411689;21;8;77346.7376923077;2011015.18;1624281.4915384615
3436769;17;13;58656.575173076926;3050141.909;997161.7779423078
3450991;25;40;69377.99880291263;7145933.8767;1734449.9700728157
3454087;14;56;78207.97854545455;1720575.528;1094911.6996363637
3457203;16;39;104196.55234146341;4272058.646;1667144.8374634145
3461706;11;82;97572.0964;4390744.3379999995;1073293.0603999998
3465026;25;0;57064.233727397266;8331378.1242;1426605.8431849317
3490287;3;40;64026.856250000004;1536644.55;192080.56875
3497147;23;26;80822.34144827587;4687695.8040000005;1858913.853310345
3520724;11;12;58168.285652173916;1337870.57;639851.1421739131
3541676;24;18;108372.10198367348;5310232.9972;2600930.4476081636
3551769;13;11;79343.18724705883;1348834.1832;1031461.4342117647
3563520;36;28;58122.46281818182;4475429.637;2092408.6614545456
3570544;20;27;69336.08073052632;6586927.6694;1386721.6146105262
3585936;28;19;84681.15177176471;7197897.9006;2371072.2496094117
3586984;25;21;82219.20846929825;9372989.7655;2055480.2117324562
3609307;34;15;55332.7733632287;12339208.459999999;1881314.2943497756
3609486;17;0;64365.57941269841;4055031.503;1094214.850015873
3613726;22;40;64427.70418846154;1675120.3089;1417409.492146154
3644205;13;40;60164.65820689655;1744775.088;782140.5566896552
3652524;25;27;114487.58166419754;9273494.1148;2862189.5416049385
3665785;30;5;69253.6452195122;5678798.908;2077609.356585366
3668954;17;77;61090.38741208791;5559225.2545;1038536.5860054945
3674529;9;64;112960.58020588235;3840659.727;1016645.2218529411
3880913;4;10;83721.10023809524;3516286.21;334884.40095238097
4344456;20;13;112439.3504;4497574.016;2248787.008
4442691;18;40;78915.39724670051;15546333.2576;1420477.150440609
4474369;3;19;55544.75198333333;1333074.0476;166634.25595
4485267;6;50;55309.50909090909;608404.6;331857.0545454545
4572353;18;39;69925.95708076922;7272299.5364;1258667.227453846
