cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
1592227;15;12;185303.44422222223;5003192.994;2779551.6633333336
3358229;9;48;326158.97072727274;3587748.678;2935430.7365454547
3364232;7;47;118953.76311111111;1070583.868;832676.3417777778
3365883;15;55;134605.40269777778;6057243.1214;2019081.0404666667
3370696;7;5;129747.22833333333;1556966.74;908230.5983333334
3415594;12;20;855653.5276190476;17968724.08;10267842.33142857
3569876;29;8;217185.47118681317;19763877.878;6298378.664417582
3572769;31;12;242999.7921768421;23084980.2568;7532993.557482106
3596976;9;12;161307.42670588236;2742226.254;1451766.8403529413
3597463;17;15;133301.69414545453;2932637.2712;2266128.800472727
3597764;19;40;208046.795;9986246.16;3952889.1050000004
3608395;22;10;274092.0138235294;18638256.94;6030024.304117647
3661187;19;25;1970309.5726181818;43346810.5976;37435881.87974545
4325127;11;12;122057.84945714285;4272024.731;1342636.3440285714
4336902;37;19;354522.7726153846;36870368.352;13117342.58676923
4426802;23;14;190872.58788607595;15078934.443;4390069.5213797465
4668482;22;40;148603.21352702702;5498318.9004999995;3269270.6975945947
4829476;58;0;192234.3242902208;60938280.8;11149590.808832806
4860384;10;21;155162.88413793102;4499723.64;1551628.8413793102
4860589;28;27;198518.31072580646;24616270.53;5558512.7003225805
6152074;5;68;213495.842;1494470.894;1067479.21
7253239;6;26;168923.88666666666;1520314.98;1013543.32
8039298;2;12;186109.48662857144;1302766.4064;372218.9732571429
8129250;14;21;203777.89482352944;3464224.2120000003;2852890.527529412
8162645;29;11;142448.18452711863;8404442.8871;4130997.35128644
8167223;20;6;127605.74889491525;7528739.1848;2552114.977898305
8300655;33;13;155340.52598728813;18330182.0665;5126237.357580508
8322794;36;20;259453.83323941368;79652326.8045;9340337.996618893
8436122;105;13;141051.4905117284;91401365.8516;14810406.503731482
8436769;29;20;139247.20141558442;10722034.509;4038168.8410519483
10012488;11;47;202888.69;3246219.04;2231775.59
10124325;2;56;157519.77658333335;945118.6595000001;315039.5531666667
10176860;32;13;198481.44003;39696288.006;6351406.08096
10184580;9;12;153499.46824000002;1534994.6824;1381495.2141600002
11585093;15;27;121949.41846153846;3170684.88;1829241.276923077
11705480;23;47;319039.41828125;20418522.77;7337906.62046875
11793612;43;8;561698.9865974026;43250821.968;24153056.42368831
11795428;3;55;147899.1;887394.6000000001;443697.30000000005
11798015;17;21;788789.2181641025;30762779.5084;13409416.708789743
11799581;17;41;246601.45403999998;12330072.702;4192224.71868
11799671;8;42;262587.2019047619;5514331.24;2100697.615238095
11801468;5;56;138755.24875;3330125.97;693776.24375
11830977;16;42;163536.07188405798;11283988.96;2616577.1501449277
11870001;16;21;146130.98413043478;6722025.2700000005;2338095.7460869565
11935203;18;49;179153.20091743118;19527698.9;3224757.616513761
11935578;10;54;167357.9203125;10710906.9;1673579.203125
11955151;31;14;141835.01135135134;15743686.26;4396885.351891891
14675749;20;8;1162700.6004842105;88365245.6368;23254012.009684213
14895140;26;20;331648.5983478261;15255835.524;8622863.557043478
15271725;37;13;122578.79043733333;9193409.2828;4535415.246181333
15306102;31;12;148518.22326551724;21535142.3735;4604064.921231034
15309233;2;13;174136.976;522410.928;348273.952
15319044;39;21;228713.73782162162;16924816.5988;8919835.775043244
15320080;17;60;117820.72240000001;10603865.016;2002952.2808000003
15320420;5;62;210050.54580000002;2100505.458;1050252.729
15342151;26;26;154575.26674;11593145.0055;4018956.9352399996
15367107;21;25;186229.8491111111;8380343.21;3910826.831333333
15371324;11;28;130632.69209999999;2220755.7657;1436959.6130999997
15375176;22;0;319560.8875;22688823.0125;7030339.525
15385299;10;21;286164.56696;2861645.6696;2861645.6696
15456361;22;7;183017.70848706897;21230054.1845;4026389.5867155176
15491100;19;18;135110.32808333333;3242647.874;2567096.233583333
15534720;25;6;301219.58120449435;26808542.727199998;7530489.530112359
15535673;26;5;127874.86557727274;14066235.2135;3324746.505009091
15538000;28;5;228246.5086676829;37432427.4215;6390902.242695121
15538805;8;64;120302.792;1323330.712;962422.336
15539411;3;54;284693.018775;1138772.0751;854079.056325
15571435;14;68;139644.4335024;34911108.3756;1955022.0690336
15918437;24;55;127118.87962790698;5466111.824;3050853.1110697677
17690655;10;21;133826.89521428573;3747153.066;1338268.9521428572
18125729;4;27;170793.806;683175.224;683175.224
18144083;16;39;139375.83252341137;41673373.9245;2230013.320374582
18152908;17;21;213485.00279861112;76854601.00750001;3629245.0475763893
18601637;13;21;211040.906;6331227.18;2743531.778
18607539;3;63;184425.5711111111;1659830.14;553276.7133333333
21495802;25;27;270301.81916;20272636.437;6757545.479
21742115;5;63;177690.02244444445;1599210.202;888450.1122222223
21788663;20;14;129324.56165625;4138385.973;2586491.2331250003
21872361;20;5;118303.36144193549;7334808.4094;2366067.2288387096
21940411;31;12;122761.79846153845;9575420.28;3805615.752307692
21977259;15;20;427731.12993103446;12404202.768;6415966.948965517
22229271;20;12;121090.78681395348;5206903.833;2421815.7362790694
24836948;11;47;118039.45077966101;6964327.596;1298433.958576271
25175007;40;0;188831.01143281252;36255554.1951;7553240.457312501
26230803;13;70;723913.820652174;33300035.75;9410879.668478262
26317122;12;68;172801.57076923078;2246420.42;2073618.8492307693
27359977;8;19;131656.38913225807;4081348.0631;1053251.1130580646
32220235;23;47;437281.30214174755;45039974.1206;10057469.949260194
32276162;26;13;122590.14650987655;9929801.8673;3187343.80925679
32555956;33;25;205514.56078125;13152931.89;6781980.50578125
32557024;11;12;188702.6752117647;3207945.4786;2075729.4273294117
32560415;20;19;118476.04655360825;11492176.5157;2369520.931072165
35891372;10;15;203025.88;3045388.2;2030258.8
37753353;11;5;177991.06909333335;5339732.0728;1957901.7600266668
39167472;19;0;119398.24382105265;4537133.2652;2268566.6326
39171911;28;14;117397.74037333333;10565796.6336;3287136.7304533334
39430271;9;1;124550.82900000001;1494609.948;1120957.4610000001
39840620;9;47;312528.18904411764;21251916.855;2812753.7013970586
41107656;16;15;119147.6512875;2859543.6309;1906362.4206
41116345;9;55;165651.0753038674;29982844.63;1490859.6777348067
41751615;8;56;129777.91723076922;1687112.9239999999;1038223.3378461538
42939547;12;61;201422.2446952381;4229867.1386;2417066.9363428573
42939881;9;11;247562.00088695652;5693926.0204;2228058.007982609
43011075;4;40;160003.62333333332;1920043.48;640014.4933333333
43023073;26;13;381126.231984375;12196039.4235;9909282.03159375
43061308;33;6;348226.51634645666;44224767.576;11491475.03943307
43097587;34;8;149037.68484375;9538411.83;5067281.2846875
43116593;12;22;176537.84399999998;3177681.192;2118454.1279999996
43180997;18;11;150312.13077647059;5110612.4464;2705618.3539764704
43257788;15;8;130223.30072258065;4036922.3224;1953349.5108387098
43262494;23;53;238583.78714285715;10020519.06;5487427.104285714
43415285;25;14;136993.68646388888;24658863.5635;3424842.161597222
43433051;6;38;437416.763;2624500.5779999997;2624500.5779999997
43450852;43;5;184970.30451538463;24046139.587;7953723.094161539
43460921;14;18;550461.5994444444;9908308.79;7706462.392222222
43463956;12;39;224880.9442105263;4272737.9399999995;2698571.3305263156
43485369;21;39;142251.01637974684;11237830.294;2987271.3439746834
43519996;17;39;438066.5452307692;17084595.264;7447131.268923077
43645197;14;67;164691.15688000002;4117278.9220000003;2305676.19632
43653647;17;27;241816.94740769232;12574481.2652;4110888.1059307694
43655170;24;21;340900.2387090909;37499026.258;8181605.729018182
43723673;9;47;292631.33090909093;3218944.64;2633681.9781818185
43755078;27;14;164256.19253731344;11005164.9;4434917.198507463
43785957;31;14;140573.3735965909;37111370.6295;4357774.581494318
43786538;28;20;209969.8009047619;8818731.638;5879154.425333333
43786587;18;41;183233.21824324326;13559258.15;3298197.9283783785
43787095;23;47;221633.2062857143;7757162.22;5097563.744571429
43788970;7;69;129663.80692307692;3371258.98;907646.6484615384
43911265;43;7;161969.06385795455;14253277.6195;6964669.745892046
43960165;37;1;120637.616;15441614.848;4463591.791999999
43999245;17;13;209223.2194;4184464.3880000003;3556794.7298
52122244;33;8;487584.90234666667;43882641.2112;16090301.77744
53002580;32;26;183050.87740866665;27457631.6113;5857628.077077333
54256396;16;8;228811.71904761903;4805046.1;3660987.5047619045
70003133;19;26;201227.18399999998;6036815.52;3823316.496
70032637;22;56;212435.7884117647;7222816.806;4673587.345058823
70071596;21;27;144831.58775849058;7676074.1512;3041463.3429283025
70134447;29;1;117367.2952112676;8333077.96;3403651.56112676
70162545;25;47;335700.88938461535;21820557.81;8392522.234615384
70163573;19;15;183834.85161290324;11397760.8;3492862.1806451613
70221096;3;67;883053.2093333333;2649159.628;2649159.628
70302518;8;12;140039.86315000002;1400398.6315000001;1120318.9052000002
70353392;12;28;487901.6916;12197542.290000001;5854820.2992
70383482;2;68;135801.4026;271602.8052;271602.8052
70420283;7;56;215726.2857142857;1510084.0;1510084.0
70422021;20;5;150925.39272727273;4980537.96;3018507.8545454545
70431284;8;20;789327.8700000001;14997229.530000001;6314622.960000001
70471756;24;5;282483.5294963303;30790704.7151;6779604.707911927
70541482;23;0;151753.02731460673;13506019.431;3490319.628235955
70577562;18;0;172996.82843137256;8822838.25;3113942.911764706
70578793;16;0;207109.9516129032;12840817.0;3313759.2258064514
70631619;12;8;117691.84863157893;2236145.124;1412302.183578947
70631897;13;12;145558.44113333334;4366753.234;1892259.7347333333
70691002;19;0;233416.17120603015;46449818.07;4434907.252914573
70692729;23;8;322296.04297297297;23849907.18;7412808.988378379
70694311;16;8;170159.38215555556;7657172.197;2722550.114488889
70695510;21;1;123296.774247191;10973412.908;2589232.259191011
70697229;4;14;136247.032;817482.192;544988.128
70697913;20;42;340829.26600194175;35105414.3982;6816585.320038835
70698315;15;8;132304.65666666665;4762967.64;1984569.8499999996
70698541;72;20;229161.15450450452;76310664.45;16499603.124324325
70698795;35;27;560983.8394955882;38146901.0857;19634434.382345587
70721921;16;13;162749.99104;4068749.776;2603999.85664
70732264;11;40;116233.80414716982;6160391.6198;1278571.845618868
70751481;6;13;270039.0762;1620234.4572;1620234.4572
70783523;15;15;122066.28245945947;4516452.451;1830994.236891892
70785467;13;64;155205.58588235293;2638494.96;2017672.6164705881
70786982;35;18;165323.03786486486;12233904.802;5786306.32527027
70830255;16;12;167620.294;4693368.232;2681924.704
