cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
561141;34;11;40185.22427282609;3697040.6331;13;22014.241595652176;2025310.2268;0.017499999999999998;1366297.625276087;MANGANESO;TRONEX
567561;32;11;44368.796643809525;4658723.6476;22;26196.138427619047;2750594.5349;0.0002857142857142857;1419801.4926019048;MANGANESO;TRONEX
594642;11;12;36830.83588235294;1252248.42;17;20378.78371470588;692878.6463;0.0;405139.19470588234;BOMBILLAS;SB
688801;19;8;40048.54585625;1922330.2011;10;22740.673250000003;1091552.316;0.020416666666666666;760922.3712687499;MANGANESO;TRONEX
781062;26;28;34717.28456811594;2395492.6352;17;19430.145336231886;1340680.0282;0.0011594202898550724;902649.3987710144;BOMBILLAS;SB
791454;7;29;34677.123999999996;485479.736;4;16562.869914285715;231880.1788;0.004285714285714286;242739.86799999996;MANGANESO;TRONEX
1593022;6;3;34816.807199999996;348168.072;4;19071.416879999997;190714.16879999998;0.006;208900.84319999997;MANGANESO;TRONEX
1593095;14;75;51934.333264367815;4518286.994;22;30738.850811494252;2674280.0206;0.0003448275862068965;727080.6657011494;OTROS;TRONEX
2478481;23;23;51125.43065227273;2249518.9487;6;36058.756;1586585.264;0.016136363636363636;1175884.9050022727;ALKALINAS;TRONEX
3203276;23;65;52642.60584615385;2737415.504;22;32451.77303846154;1687492.198;0.0005769230769230769;1210779.9344615384;OTROS;TRONEX
3340486;29;1;41253.128916091955;3589022.2157;22;25750.702619540232;2240311.1279;0.023563218390804597;1196340.7385666666;ALKALINAS;TRONEX
3347513;19;32;45243.81458536586;1854996.398;8;24750.675041463415;1014777.6767000001;0.002926829268292683;859632.4771219513;MANGANESO;TRONEX
3349446;20;67;40315.590399999994;1411045.6639999999;14;22855.52519714286;799943.3819;0.0008571428571428571;806311.8079999998;MANGANESO;TRONEX
3351665;32;17;45844.29794871795;3575855.2399999998;10;25002.49585769231;1950194.6769;0.003846153846153847;1467017.5343589743;MANGANESO;TRONEX
3352895;16;64;54942.63666666667;1648279.1;14;37478.695900000006;1124360.877;0.0;879082.1866666668;ALKALINAS;TRONEX
3354286;16;45;35767.45344117647;1216093.417;6;21187.447752941178;720373.2236;0.0008823529411764705;572279.2550588235;MANGANESO;TRONEX
3354513;21;64;34660.83461111112;1247790.046;8;18998.753636111112;683955.1309;0.0016666666666666666;727877.5268333334;MANGANESO;TRONEX
3361360;31;2;36287.14441904762;2286090.0984;9;19599.779833333334;1234786.1295;0.016825396825396827;1124901.4769904763;MANGANESO;TRONEX
3363850;20;9;38385.93511111111;1381893.6639999999;5;19996.64813888889;719879.333;0.011944444444444445;767718.7022222222;MANGANESO;TRONEX
3364256;16;2;36679.008;916975.2;6;19149.457248;478736.4312;0.0;586864.128;MANGANESO;TRONEX
3370051;9;57;43844.854;438448.54;3;30535.281150000003;305352.8115;0.0;394603.686;ALKALINAS;TRONEX
3370224;17;17;50133.6922275862;1453877.0746;9;25637.043565517244;743474.2634;0.008275862068965517;852272.7678689654;BOMBILLAS;SB
3376904;6;18;41464.57;580503.98;7;21076.592592857145;295072.29630000005;0.0;248787.41999999998;BOMBILLAS;SB
3377670;4;1;48653.44764705882;827108.61;11;32419.778317647062;551136.2314;0.0;194613.79058823528;ENCENDEDORES;SL
3378312;32;3;51296.712810843375;4257627.1633;15;27090.874095180723;2248542.5499;0.011204819277108435;1641494.809946988;MANGANESO;TRONEX
