cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
295436;21;26;18500.832835820896;1239555.8;24;10391.034491044777;696199.3109;0.0;388517.48955223884;OTROS;GP
545114;26;15;18819.57868852459;1147994.3;23;11598.30003442623;707496.3021;0.000819672131147541;489309.0459016394;ALKALINAS;TRONEX
581825;34;3;18519.110728971962;1981544.848;11;9859.963537383179;1055016.0985;0.0033644859813084112;629649.7647850467;MANGANESO;TRONEX
586834;20;59;17514.719019230768;910765.389;21;8350.864988461539;434244.9794;0.0021153846153846153;350294.3803846154;TERCEROS;TRONEX
593670;7;25;13937.145727272728;153308.603;4;7735.225681818181;85087.4825;0.009090909090909092;97560.02009090909;MANGANESO;TRONEX
620981;26;17;21593.697200000002;1079684.86;12;11444.727508;572236.3754;0.0;561436.1272000001;MANGANESO;TRONEX
639377;4;64;23497.054615384615;305461.71;6;14249.464484615386;185243.03830000001;0.0;93988.21846153846;MANGANESO;TRONEX
651156;13;18;20206.99157894737;383932.84;8;10793.836357894737;205082.8908;0.0;262690.89052631584;MANGANESO;TRONEX
657907;27;10;21630.88839285714;1211329.75;12;10978.341389285715;614787.1178;0.0017857142857142859;584033.9866071428;MANGANESO;TRONEX
690568;10;58;16222.568823529411;275783.67;3;8177.684776470587;139020.64119999998;0.0;162225.6882352941;MANGANESO;TRONEX
690946;29;1;17613.62928504673;1884658.3335;16;10490.479377570095;1122481.2934;0.004205607476635514;510795.2492663551;ALKALINAS;TRONEX
691677;7;15;14602.8225;175233.87;8;7749.246633333333;92990.9596;0.0;102219.7575;MANGANESO;TRONEX
719019;12;30;16045.229166666666;192542.75;9;8034.857616666667;96418.2914;0.0;192542.75;MANGANESO;TRONEX
719289;24;12;21081.646296296294;569204.45;9;11709.255848148148;316149.9079;0.0;505959.51111111103;MANGANESO;TRONEX
741117;14;15;13036.979057692308;338961.4555;9;7047.713846153846;183240.56;0.007692307692307693;182517.7068076923;MANGANESO;TRONEX
744985;31;2;21842.306266666666;1638172.97;9;12863.435288;964757.6466;0.0;677111.4942666667;MANGANESO;TRONEX
759600;10;79;14574.596;218618.94;6;7397.323893333333;110959.8584;0.0;145745.96;MANGANESO;TRONEX
781021;19;58;20995.940416666668;1007805.14;20;12566.156702083334;603175.5217;0.0;398922.86791666667;ENCENDEDORES;TRONEX
797842;19;19;16008.439890243902;656346.0355;8;8486.921253658536;347963.77139999997;0.0007317073170731707;304160.35791463417;MANGANESO;TRONEX
1086377;3;2;19117.6225;152940.98;7;11520.170362500001;92161.36290000001;0.0;57352.86750000001;MANGANESO;TRONEX
1237846;5;11;13287.473750000001;212599.58000000002;10;5048.716375;80779.462;0.0;66437.36875000001;TERCEROS;COFA
1264260;18;17;22225.564538461538;577864.678;7;11399.090261538462;296376.3468;0.0023076923076923075;400060.1616923077;MANGANESO;TRONEX
1290111;31;3;19165.040706;1916504.0706;27;10920.499709999998;1092049.971;0.0316;594116.2618859999;MANGANESO;TRONEX
1318362;5;9;18291.323333333334;109747.94;4;8846.038066666666;53076.2284;0.0;91456.61666666667;MANGANESO;TRONEX
1543351;9;11;11346.624413793104;329052.108;22;5231.938379310345;151726.21300000002;0.00896551724137931;102119.61972413794;TERCEROS;TRONEX
1768731;9;31;17252.15;258782.25;4;8525.882393333331;127888.23589999999;0.0;155269.35;MANGANESO;TRONEX
2136757;16;64;18157.895833333332;435789.5;5;12736.3561125;305672.5467;0.0;290526.3333333333;ALKALINAS;TRONEX
2181779;24;1;15299.980555555558;550799.3;8;8207.962647222223;295486.6553;0.0;367199.5333333334;MANGANESO;TRONEX
2399134;14;32;22296.004444444447;401328.08;7;11455.456777777777;206198.222;0.008333333333333335;312144.0622222223;MANGANESO;TRONEX
2531301;22;17;20864.014444444445;563328.39;16;11488.139896296298;310179.7772;0.0;459008.3177777778;MANGANESO;TRONEX
2570087;22;3;12498.577896103896;962390.498;14;6695.369715584416;515543.4681;0.0003896103896103896;274968.7137142857;BOMBILLAS;TRONEX
2622370;4;59;16926.8;118487.59999999999;2;9320.449457142857;65243.146199999996;0.0;67707.2;MANGANESO;TRONEX
2705866;17;10;22367.27901851852;603916.5335;16;12281.731477777777;331606.7499;0.008518518518518517;380243.7433148148;MANGANESO;TRONEX
3109293;3;2;18605.028;93025.14;3;11308.084780000001;56540.4239;0.0;55815.083999999995;ENCENDEDORES;SL
3109623;33;18;23450.076529411763;2790559.107;29;13709.989327731093;1631488.73;0.00025210084033613445;773852.5254705881;ENCENDEDORES;TRONEX
3131479;11;16;21955.162307692306;285417.11;7;12970.746215384617;168619.70080000002;0.0;241506.78538461536;MANGANESO;TRONEX
3131791;42;18;18000.384736842105;3762080.41;27;10799.829990909091;2257164.4681;0.0;756016.1589473684;ALKALINAS;TRONEX
3132075;18;18;20329.83975;813193.59;17;11778.6512725;471146.0509;0.0;365937.11549999996;OTROS;TRONEX
3319921;23;45;10308.280576923076;536030.59;15;6242.690230769231;324619.892;0.0;237090.45326923075;OTROS;GP
3329610;9;53;17871.164444444446;160840.48;4;9204.620066666666;82841.5806;0.0;160840.48;MANGANESO;TRONEX
3338711;30;12;17868.509340136054;2626670.873;31;9486.146076190475;1394463.4732;0.01142857142857143;536055.2802040816;MANGANESO;TRONEX
3339885;22;32;20524.156976744187;882538.75;10;10421.843279069768;448139.261;0.0011627906976744186;451531.4534883721;MANGANESO;TRONEX
3347722;24;9;19001.096086956524;874050.42;11;9546.427065217391;439135.645;0.0;456026.3060869566;MANGANESO;TRONEX
3349387;20;10;22726.81752631579;863619.066;7;11765.406492105263;447085.44670000003;0.01894736842105263;454536.3505263158;MANGANESO;TRONEX
3352138;9;58;13246.213;264924.26;11;7339.396589999999;146787.9318;0.0;119215.917;MANGANESO;TRONEX
3353031;16;25;14748.676315789473;560449.7;12;8631.981921052631;328015.31299999997;0.0;235978.82105263157;OTROS;TRONEX
3353546;22;46;21947.69637777778;790117.0696;13;12296.150955555555;442661.43439999997;0.006388888888888889;482849.3203111111;MANGANESO;TRONEX
3353925;11;11;17301.59;311428.62;5;9397.168899999999;169149.0402;0.0;190317.49;MANGANESO;TRONEX
3354203;31;10;14824.801219512194;1215633.7;15;8810.58776707317;722468.1969;0.0;459568.837804878;ALKALINAS;TRONEX
3354302;19;44;15805.196604651164;679623.454;14;6888.954881395349;296225.0599;0.004651162790697674;300298.7354883721;MANGANESO;TRONEX
3355271;13;16;20768.932777777776;373840.79;10;11957.737594444443;215239.2767;0.0;269996.1261111111;ALKALINAS;TRONEX
3355408;36;15;23494.56838235294;1597630.65;17;12590.806327941176;856174.8303;0.0;845804.4617647058;ENCENDEDORES;SL
3355436;20;12;18195.15511111111;491269.188;8;9540.51245925926;257593.8364;0.0022222222222222222;363903.10222222225;MANGANESO;TRONEX
3356051;24;31;20916.786072916668;1004005.7315;28;8929.872837500001;428633.8962;0.0020833333333333333;502002.86575;TERCEROS;COFA
3359434;22;9;16312.330965517242;473057.598;12;8027.522368965517;232798.1487;0.0027586206896551726;358871.2812413793;MANGANESO;TRONEX
3360508;18;5;19754.18;414837.78;12;10151.94939047619;213190.9372;0.0;355575.24;MANGANESO;TRONEX
3360990;10;61;20271.55825;324344.932;6;11023.490375;176375.846;0.021875000000000002;202715.5825;MANGANESO;TRONEX
3361217;33;15;21721.354444444445;2541398.47;21;12479.89435897436;1460147.6400000001;0.0;716804.6966666667;BOMBILLAS;TRONEX
3361719;21;3;15993.053333333331;383833.27999999997;5;8031.702641666667;192760.8634;0.0;335854.11999999994;MANGANESO;TRONEX
3362381;42;5;15137.2925;1332081.74;25;6740.998693181818;593207.885;0.0;635766.285;TERCEROS;TRONEX
3363929;18;11;20613.857563636364;453504.8664;14;10846.30965;238618.8123;0.012272727272727274;371049.4361454545;MANGANESO;TRONEX
