cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
537728;25;32;31935.27819230769;1660634.466;11;19007.224090384614;988375.6527;0.0009615384615384616;798381.9548076923;MANGANESO;TRONEX
567597;18;60;30896.915463917525;2997000.8;44;18115.021469072166;1757157.0825;0.0;556144.4783505155;OTROS;TRONEX
597444;8;59;25008.45;250084.5;5;13259.72997;132597.2997;0.0;200067.6;MANGANESO;TRONEX
609709;26;18;30413.93736842105;1733594.43;25;17131.054298245614;976470.095;0.0;790762.3715789473;MANGANESO;TRONEX
652526;14;3;27216.420833333334;653194.1;5;13484.230279166666;323621.5267;0.0;381029.89166666666;MANGANESO;TRONEX
660411;7;16;27762.5204;277625.204;6;15892.25146;158922.5146;0.015;194337.6428;MANGANESO;TRONEX
663344;30;23;23917.686490196076;2439604.022;14;14678.797181372549;1497237.3125;0.010294117647058823;717530.5947058822;BOMBILLAS;TRONEX
673713;33;10;30925.149316239316;3618242.47;15;16782.72506752137;1963578.8329;0.0;1020529.9274358974;MANGANESO;TRONEX
709378;32;4;27466.68364583333;2636801.63;6;14387.892925;1381237.7208;0.0;878933.8766666666;MANGANESO;TRONEX
720850;9;82;29031.54416666667;696757.06;10;17029.678174999997;408712.27619999996;0.0;261283.89750000002;MANGANESO;TRONEX
729999;28;30;27885.076500000003;1115403.06;10;14765.1136725;590604.5469;0.0;780782.1420000001;MANGANESO;TRONEX
935248;17;5;31716.706685714285;1110084.734;13;17651.88662857143;617816.032;0.0017142857142857142;539184.0136571429;MANGANESO;TRONEX
1256013;20;11;27025.875357142857;756724.51;4;13888.080678571429;388866.259;0.0;540517.5071428572;MANGANESO;TRONEX
1384637;29;58;34375.95056862745;1753173.479;31;18264.703474509803;931499.8772;0.00392156862745098;996902.566490196;OTROS;TRONEX
1389728;11;16;28754.371764705884;488824.32;8;15702.357270588236;266940.0736;0.0;316298.0894117647;MANGANESO;TRONEX
1404165;5;18;23994.04294117647;407898.73;5;12721.058735294117;216257.9985;0.0;119970.21470588236;MANGANESO;TRONEX
1591760;10;79;28862.3425;577246.85;11;18835.307890000004;376706.15780000004;0.0;288623.425;ALKALINAS;TRONEX
2376373;18;32;24219.204838709677;750795.35;5;13075.239058064517;405332.4108;0.0;435945.68709677417;MANGANESO;TRONEX
2469562;10;24;25237.437157894736;479511.306;6;12808.753642105263;243366.3192;0.004210526315789474;252374.37157894735;MANGANESO;TRONEX
2822220;26;1;25279.63666440678;1491498.5632;6;13486.762579661017;795718.9922;0.0015254237288135593;657270.5532745762;MANGANESO;TRONEX
3132934;12;17;25252.768945945947;934352.451;8;16088.618386486485;595278.8803;0.002702702702702703;303033.22735135135;MANGANESO;TRONEX
3133111;25;12;26636.500523076924;1731372.534;19;13778.604655384615;895609.3026;0.00046153846153846153;665912.5130769231;ENCENDEDORES;SL
3322787;28;11;26299.09483870968;1630543.8800000001;8;13721.091020967742;850707.6433;0.0016129032258064516;736374.655483871;MANGANESO;TRONEX
3326028;14;19;23808.1005;476162.01;11;12734.53094;254690.6188;0.0;333313.407;MANGANESO;TRONEX
3347360;32;12;23720.931086956523;2182325.66;16;12888.710466304348;1185761.3629;0.0010869565217391304;759069.7947826087;ALKALINAS;TRONEX
3348101;19;32;25397.883043478258;584151.3099999999;11;16561.709391304346;380919.316;0.0;482559.7778260869;ALKALINAS;TRONEX
3355692;27;1;24287.921948717947;947228.956;5;12383.051743589744;482939.018;0.008717948717948718;655773.8926153845;MANGANESO;TRONEX
3357870;21;19;26876.500869565218;1236319.04;12;15926.727752173912;732629.4765999999;0.0;564406.5182608695;MANGANESO;TRONEX
3359244;20;4;24332.90022068966;705654.1064;9;12507.124996551724;362706.6249;0.02206896551724138;486658.00441379315;MANGANESO;TRONEX
3359667;21;32;29023.10085483871;1799432.253;14;15290.618490322582;948018.3464;0.008064516129032258;609485.1179516129;MANGANESO;TRONEX
3360311;17;68;29371.654193548387;910521.28;6;17710.16733548387;549015.1874;0.0;499318.12129032257;MANGANESO;TRONEX
3360353;19;46;28811.42;1440571.0;15;16988.091408;849404.5704;0.0;547416.98;MANGANESO;TRONEX
3360747;13;46;26072.94075;417167.052;8;14608.0190375;233728.3046;0.00375;338948.22975;MANGANESO;TRONEX
3361205;34;3;27920.668615748033;3545924.9142;25;16642.73438582677;2113627.267;0.00921259842519685;949302.7329354332;MANGANESO;TRONEX
3361269;24;46;27928.330365957445;1312631.5272;11;15477.593395744681;727446.8896;0.001276595744680851;670279.9287829787;MANGANESO;TRONEX
3362022;26;1;26346.337689999997;1053853.5076;10;15517.94388;620717.7552;0.0165;685004.7799399999;MANGANESO;TRONEX
3364186;25;32;27073.060297727272;1191214.6531;14;15866.713745454546;698135.4048;0.017045454545454544;676826.5074431818;MANGANESO;TRONEX
3364192;29;4;26814.500847457628;1582055.55;9;14047.419786440678;828797.7674;0.0;777620.5245762712;MANGANESO;TRONEX
3364212;11;5;27685.541616000002;692138.5404;11;16334.514968000001;408362.8742;0.0032;304540.957776;MANGANESO;TRONEX
3364248;28;12;23828.99307894737;1811003.474;14;12420.52454736842;943959.8656;0.002631578947368421;667211.8062105264;MANGANESO;TRONEX
3364344;24;2;24785.467959183672;1214487.93;7;13066.010769387754;640234.5277;0.0;594851.2310204081;BOMBILLAS;SB
3364361;17;45;23797.3964;713921.892;7;13101.03838;393031.1514;0.009000000000000001;404555.73880000005;ENCENDEDORES;SL
3364392;12;78;30035.04393333333;901051.318;9;15733.183253333333;471995.4976;0.001;360420.52719999995;BOMBILLAS;SB
3364410;27;26;28363.105625;1361429.07;15;15503.53101875;744169.4889;0.0020833333333333333;765803.851875;MANGANESO;TRONEX
3365650;12;12;24477.824285714287;514034.31;4;12637.134485714285;265379.8242;0.0;293733.8914285714;MANGANESO;TRONEX
3366999;19;12;26066.257777777777;938385.28;10;13642.644699999999;491135.2092;0.0;495258.89777777775;MANGANESO;TRONEX
3367049;16;31;29737.518847058825;1011075.6408;4;16363.23972352941;556350.1505999999;0.023529411764705882;475800.3015529412;MANGANESO;TRONEX
3367244;31;3;24714.56113402062;2397312.43;12;13402.455628865979;1300038.196;0.0006185567010309278;766151.3951546393;MANGANESO;TRONEX
3369233;27;3;26035.447142857145;728992.52;3;13880.052989285714;388641.4837;0.0;702957.0728571429;MANGANESO;TRONEX
3369798;30;10;28631.582377049177;3493053.05;15;16275.795562295081;1985647.0585999999;0.0;858947.4713114753;MANGANESO;TRONEX
3371230;12;4;26913.179066666667;403697.686;9;13893.061593333334;208395.9239;0.0033333333333333335;322958.1488;BOMBILLAS;SB
3371637;24;60;29898.178399999997;1195927.136;9;16359.716367500001;654388.6547000001;0.0055;717556.2815999999;MANGANESO;TRONEX
3375774;9;25;25300.14214285714;354201.99;6;13497.143014285713;188960.0022;0.0;227701.27928571426;MANGANESO;TRONEX
3376468;20;59;25601.931428571428;896067.6;6;13749.457282857144;481231.0049;0.0;512038.6285714286;MANGANESO;TRONEX
3378493;33;9;25821.721934306566;3537575.905;27;14680.848588321167;2011276.2566;0.005328467153284671;852116.8238321167;MANGANESO;TRONEX
3379544;15;10;27276.29448275862;791012.54;9;14417.836006896552;418117.2442;0.0;409144.4172413793;MANGANESO;TRONEX
3382264;12;12;26559.950666666668;398399.26;10;14089.677966666668;211345.16950000002;0.0;318719.408;ENCENDEDORES;CP
3385139;15;18;26559.477952380952;1115498.074;13;15484.924995238094;650366.8498;0.0007142857142857143;398392.1692857143;MANGANESO;TRONEX
3385300;13;29;25082.00363529412;852788.1236;12;15018.923502941176;510643.3991;0.003529411764705882;326066.0472588236;BOMBILLAS;TRONEX
3386698;10;11;30610.47882352941;520378.14;8;17200.642229411766;292410.9179;0.0;306104.7882352941;OTROS;TRONEX
3387496;19;16;28714.993512;717874.8378;13;15182.906556;379572.6639;0.0104;545584.876728;ENCENDEDORES;CP
3388022;17;8;25791.454838709677;799535.1;12;15261.822029032259;473116.4829;0.0;438454.7322580645;MANGANESO;TRONEX
3393976;14;32;26573.31703703704;717479.56;6;13936.622285185185;376288.8017;0.0;372026.4385185185;MANGANESO;TRONEX
3394114;15;71;29298.237878787877;966841.85;14;12487.218987878789;412078.2266;0.0;439473.5681818182;TERCEROS;COFA
3394156;15;29;24869.13284210526;472513.524;2;12160.674394736841;231052.8135;0.003157894736842105;373036.99263157893;MANGANESO;TRONEX
3395509;26;19;26538.592666666667;1035005.1140000001;10;14784.780338461538;576606.4332;0.0007692307692307692;690003.4093333334;MANGANESO;TRONEX
3396266;18;15;23946.342608695653;550765.88;3;11805.669495652173;271530.3984;0.0;431034.16695652175;MANGANESO;TRONEX
3397874;21;16;31569.287647058823;1073355.78;17;19385.321647058823;659100.936;0.0;662955.0405882352;ALKALINAS;TRONEX
3398464;31;12;27009.26568;1350463.284;9;14407.75632;720387.816;0.0012;837287.2360800001;MANGANESO;TRONEX
3398716;33;29;28668.288979591835;2809492.32;16;14421.147692857145;1413272.4739;0.0010204081632653062;946053.5363265305;MANGANESO;TRONEX
3401068;18;17;33162.47312;829061.828;14;21757.858764;543946.4691;0.0012;596924.51616;ALKALINAS;TRONEX
