cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
1592227;15;16;185303.44422222223;5003192.994;9;120291.8695074074;3247880.4767;0.0022222222222222222;2779551.6633333336;MANGANESO;TRONEX
3358229;10;3;310117.69176923076;4031529.993;4;177183.7408153846;2303388.6306;0.07846153846153846;3101176.9176923074;MANGANESO;TRONEX
3364232;7;51;118953.76311111111;1070583.868;5;63831.05306666667;574479.4776;0.005555555555555556;832676.3417777778;BOMBILLAS;SB
3365883;15;59;134605.40269777778;6057243.1214;14;74874.76726222223;3369364.5268;0.015777777777777776;2019081.0404666667;MANGANESO;TRONEX
3370696;7;9;129747.22833333333;1556966.74;8;74147.21334166666;889766.5601;0.0;908230.5983333334;MANGANESO;TRONEX
3415594;12;24;855653.5276190476;17968724.08;5;491217.49648571433;10315567.4262;0.0;10267842.33142857;MANGANESO;TRONEX
3569876;29;12;217185.47118681317;19763877.878;16;109322.33554175824;9948332.5343;0.06483516483516484;6298378.664417582;MANGANESO;TRONEX
3572769;31;16;242999.7921768421;23084980.2568;11;133532.8157463158;12685617.495900001;0.02368421052631579;7532993.557482106;MANGANESO;TRONEX
3596976;9;16;161307.42670588236;2742226.254;4;105809.09434705882;1798754.6039;0.013529411764705882;1451766.8403529413;ALKALINAS;TRONEX
3597463;17;19;133301.69414545453;2932637.2712;5;93869.33599545456;2065125.3919000002;0.0036363636363636364;2266128.800472727;ALKALINAS;TRONEX
3597764;19;44;208046.795;9986246.16;6;106471.47646458335;5110630.8703000005;0.0;3952889.1050000004;MANGANESO;TRONEX
3608395;22;14;274092.0138235294;18638256.94;11;143346.12169411764;9747536.2752;0.0;6030024.304117647;MANGANESO;TRONEX
3672828;14;2;131727.44178333334;3161458.6028;11;72222.174375;1733332.185;0.0075;1844184.1849666669;MANGANESO;TRONEX
4325127;11;16;122057.84945714285;4272024.731;12;67157.33303428572;2350506.6562;0.08857142857142858;1342636.3440285714;MANGANESO;TRONEX
4336902;39;1;347742.9369908257;37903980.132;7;167602.72577064222;18268697.109;0.13862385321100917;13561974.542642202;MANGANESO;TRONEX
4426802;23;18;190872.58788607595;15078934.443;27;112354.28754683543;8875988.7162;0.1018987341772152;4390069.5213797465;OTROS;TRONEX
4668482;22;44;148603.21352702705;5498318.9005;18;79100.27135945945;2926710.0403;0.017027027027027027;3269270.697594595;OTROS;TRONEX
4829476;59;3;192006.28040247678;62018028.57;36;114642.949576161;37029672.7131;0.0;11328370.54374613;BOMBILLAS;TRONEX
4860384;10;25;155162.88413793102;4499723.64;11;86429.40666206897;2506452.7932;0.0;1551628.8413793102;OTROS;TRONEX
4860589;28;31;198518.31072580646;24616270.53;31;119264.83245564517;14788839.2245;0.0;5558512.7003225805;OTROS;TRONEX
6152074;5;72;213495.842;1494470.894;3;120850.12044285714;845950.8430999999;0.012857142857142857;1067479.21;MANGANESO;TRONEX
7253239;6;30;168923.88666666666;1520314.98;4;116953.73195555556;1052583.5876;0.03333333333333334;1013543.32;ALKALINAS;TRONEX
8039298;2;16;186109.48662857144;1302766.4064;5;125924.62064285715;881472.3445;0.02142857142857143;372218.9732571429;OTROS;TRONEX
8129250;14;25;203777.8948235294;3464224.212;3;101710.20982352941;1729073.567;0.0058823529411764705;2852890.527529412;MANGANESO;TRONEX
8162645;29;15;142448.18452711863;8404442.8871;7;82513.27288135592;4868283.1;0.0005084745762711864;4130997.35128644;ALKALINAS;TRONEX
8167223;20;10;127605.74889491525;7528739.1848;20;69117.08302711864;4077907.8986;0.00711864406779661;2552114.977898305;OTROS;TRONEX
8300655;33;17;155340.52598728813;18330182.0665;32;90101.68604915254;10631998.9538;0.06059322033898305;5126237.357580508;OTROS;TRONEX
8322794;37;3;257522.3672679128;82664679.893;30;121043.27244049845;38854890.4534;0.14953271028037382;9528327.588912774;MANGANESO;TRONEX
8436122;105;17;141051.4905117284;91401365.8516;30;79182.97213734569;51310565.945;0.10319444444444445;14810406.503731482;MANGANESO;TRONEX
8436769;30;3;139613.8740379747;11029496.049;13;68704.44184810127;5427650.906;0.0479746835443038;4188416.2211392405;BOMBILLAS;TRONEX
10012488;12;3;203410.76705882352;3457983.04;6;107020.75812352942;1819352.8881;0.0;2440929.2047058824;MANGANESO;TRONEX
10124325;2;60;157519.77658333335;945118.6595000001;4;100949.17988333333;605695.0793;0.01;315039.5531666667;MANGANESO;TRONEX
10176860;32;17;198481.44003;39696288.006;18;88641.7930325;17728358.6065;0.14025;6351406.08096;BOMBILLAS;TRONEX
