;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.14878892733564014;0.1314878892733564;0.11764705882352941;0.7906976744186046;6.013463892288862;1.0;0.09808311682091929;4.14955786236063;0.9794356767097084;0.7234042553191491;0.7590104697489113;0.842717258261934
1;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.1314878892733564;0.14878892733564014;0.11764705882352941;0.8947368421052633;6.013463892288862;1.0;0.09808311682091929;8.086505190311428;0.9599250058589173;0.7234042553191491;0.876337184424476;0.842717258261934
2;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.3806228373702422;0.43944636678200694;0.3079584775086505;0.8090909090909091;1.841159627773801;1.0;0.14069515451203887;2.936233316856154;0.7376184796936789;0.6013513513513513;0.6594276094276095;0.7549391553328562
3;frozenset({'TRAAR6EHDR1'});frozenset({'TRAAAR03EHDBLK'});0.43944636678200694;0.3806228373702422;0.3079584775086505;0.7007874015748031;1.841159627773801;1.0;0.14069515451203887;2.0700236751047165;0.815022888056596;0.6013513513513513;0.51691373773809;0.7549391553328562
4;frozenset({'TRDR20RJBLK180'});frozenset({'TRAAAR03EHDBLK'});0.16608996539792387;0.3806228373702422;0.08996539792387544;0.5416666666666667;1.4231060606060608;1.0;0.026747764035392307;1.3513683548285624;0.3565272901372488;0.196969696969697;0.2600093109869648;0.38901515151515154
5;frozenset({'TRDR20RJBLK180'});frozenset({'TRAAR6EHDR1'});0.16608996539792387;0.43944636678200694;0.10726643598615918;0.6458333333333334;1.4696522309711286;1.0;0.03427880413309228;1.5827396702625687;0.3832150983804043;0.2152777777777778;0.3681841563786009;0.4449639107611549
6;frozenset({'TRAAAR03EHDBLK', 'TRAAALR03ALB2'});frozenset({'TRAAR6EHDR1'});0.05190311418685121;0.43944636678200694;0.05190311418685121;1.0;2.2755905511811023;1.0;0.029094479232767805;inf;0.5912408759124087;0.11811023622047243;1.0;0.5590551181102362
7;frozenset({'TRAAR6EHDR1', 'TRAAALR03ALB2'});frozenset({'TRAAAR03EHDBLK'});0.05190311418685121;0.3806228373702422;0.05190311418685121;1.0;2.6272727272727274;1.0;0.03214760359670023;inf;0.6532846715328466;0.13636363636363635;1.0;0.5681818181818181
8;frozenset({'TRAAAR03EHDBLK', 'TRAALR6ALB2'});frozenset({'TRAAR6EHDR1'});0.058823529411764705;0.43944636678200694;0.05536332179930796;0.9411764705882353;2.1417322834645667;1.0;0.029513535518013435;9.529411764705879;0.56640625;0.125;0.8950617283950617;0.5335803612783696
9;frozenset({'TRAAR6EHDR1', 'TRAALR6ALB2'});frozenset({'TRAAAR03EHDBLK'});0.06920415224913495;0.3806228373702422;0.05536332179930796;0.7999999999999999;2.1018181818181816;1.0;0.029022641012439985;3.0968858131487877;0.5631970260223048;0.14035087719298248;0.6770949720670391;0.47272727272727266
10;frozenset({'TRDR20RJBLK180', 'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.08996539792387544;0.43944636678200694;0.07958477508650519;0.8846153846153846;2.0130224106602057;1.0;0.04004980783276062;4.858131487889271;0.5529839642916184;0.1769230769230769;0.7941595441595442;0.5328588734100544
11;frozenset({'TRDR20RJBLK180', 'TRAAR6EHDR1'});frozenset({'TRAAAR03EHDBLK'});0.10726643598615918;0.3806228373702422;0.07958477508650519;0.7419354838709676;1.9492668621700877;1.0;0.03875671986685983;2.4000865051903104;0.5455005055611729;0.19491525423728812;0.5833483510542439;0.47551319648093837
