;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski
0;frozenset({'SLBSLE'});frozenset({'TRAALR6ALB2'});0.17884517118037813;0.37172280963798593;0.10003537596792579;0.5593406593406594;1.5047251469055425;1.0;0.03355454644656909;1.425766192592102;0.40848180174408877;0.22203803873669514;0.29862272987272986;0.41422674290920036
1;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAALR03ALB2'});0.19299555835069376;0.305609056247789;0.1222436224991156;0.6334012219959267;2.0725865580448066;1.0;0.063262432051545;1.8941441854574204;0.6412741707661586;0.32480417754569196;0.47205708642581073;0.5167006109979634
2;frozenset({'TRAAALR03ALB2'});frozenset({'TRAALR6ALB2'});0.305609056247789;0.37172280963798593;0.24091034157462363;0.7882958199356913;2.120654959816424;1.0;0.12730848453538224;2.9677127309019804;0.7610231304362893;0.5520129694677114;0.663040162348844;0.7181935904161908
3;frozenset({'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.37172280963798593;0.305609056247789;0.24091034157462363;0.6480913608966903;2.120654959816424;1.0;0.12730848453538224;1.9732136884208713;0.8411057696626304;0.5520129694677114;0.49321251627831414;0.7181935904161908
4;frozenset({'TRAAR6EHDB2'});frozenset({'TRAAALR03ALB2'});0.2264061947250501;0.305609056247789;0.13108761448056286;0.5789930555555555;1.8945546400500175;1.0;0.06189583098198716;1.6493574581495813;0.6103609696091946;0.32696078431372544;0.393703290297118;0.5039659811539835
5;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAALR6ALB2'});0.19299555835069376;0.37172280963798593;0.13195236036319327;0.6837067209775968;1.839291814358786;1.0;0.060211509165421534;1.9863754054587828;0.5654398652911462;0.30490463215258856;0.4965704885129529;0.5193409358298156
6;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAR6EHDB2'});0.19299555835069376;0.2264061947250501;0.16925435320938642;0.8769857433808553;3.8735059544014483;1.0;0.1255589632443695;6.288651628973513;0.9192464227115644;0.6766184789440602;0.8409834000991993;0.8122775939126499
7;frozenset({'TRAAR6EHDB2'});frozenset({'TRAAAR03EHDB2'});0.2264061947250501;0.19299555835069376;0.16925435320938642;0.7475694444444445;3.8735059544014487;1.0;0.1255589632443695;3.1969364400962896;0.9589476299319715;0.6766184789440602;0.6872005375340272;0.8122775939126499
8;frozenset({'TRAAAR03EHDBLK'});frozenset({'TRAAR6EHDR1'});0.14236861758578673;0.22369403718407296;0.105813450729138;0.7432357813362782;3.3225551771175983;1.0;0.07396643989305796;3.0234195670099857;0.8150667449277239;0.40658510798972963;0.6692486842013293;0.6081316843775048
9;frozenset({'TRAAR6EHDB2'});frozenset({'TRAALR6ALB2'});0.2264061947250501;0.37172280963798593;0.15313863448763806;0.6763888888888889;1.8196055537931928;1.0;0.06897828766499749;1.9414574122774688;0.5822569156694033;0.3441392103171098;0.48492303066955844;0.5441794291118865
10;frozenset({'TRAAALR03ALB2', 'TRAAAR03EHDB2'});frozenset({'TRAALR6ALB2'});0.1222436224991156;0.37172280963798593;0.10538107778782281;0.8620578778135048;2.3190879210588324;1.0;0.059940334972126245;4.554643501225791;0.6480112356542141;0.2711915840582642;0.780443848189025;0.5727757930888397
11;frozenset({'TRAAAR03EHDB2', 'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.13195236036319327;0.305609056247789;0.10538107778782281;0.7986297289246351;2.613239734221433;1.0;0.06505524146755914;3.448328991384871;0.7111743699297132;0.31724056324695304;0.7100044681066253;0.5717264400250186
12;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAALR03ALB2', 'TRAALR6ALB2'});0.19299555835069376;0.24091034157462363;0.10538107778782281;0.5460285132382893;2.266521684662313;1.0;0.058886451903171974;1.6721086688508742;0.6924315158029877;0.3207705192629816;0.40195274468182046;0.4917285656418237
13;frozenset({'TRAAALR03ALB2', 'TRAAAR03EHDB2'});frozenset({'TRAAR6EHDB2'});0.1222436224991156;0.2264061947250501;0.11045163319051925;0.9035369774919614;3.9907785146480887;1.0;0.08277491979108896;8.019589114683644;0.8537930849842335;0.46369636963696376;0.8753053322683293;0.6956920998570918
14;frozenset({'TRAAALR03ALB2', 'TRAAR6EHDB2'});frozenset({'TRAAAR03EHDB2'});0.13108761448056286;0.19299555835069376;0.11045163319051925;0.8425787106446778;4.365793274442209;1.0;0.08515230584098253;5.126399643619884;0.88725464785812;0.517019319227231;0.8049313222693122;0.7074400681532962
15;frozenset({'TRAAAR03EHDB2', 'TRAAR6EHDB2'});frozenset({'TRAAALR03ALB2'});0.16925435320938642;0.305609056247789;0.11045163319051925;0.6525777984208082;2.1353352758358564;1.0;0.058725970040368725;1.9986947886343722;0.6400147501193396;0.3030956746845001;0.4996734840724432;0.5069962947087964
16;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAALR03ALB2', 'TRAAR6EHDB2'});0.19299555835069376;0.13108761448056286;0.11045163319051925;0.5723014256619144;4.3657932744422085;1.0;0.08515230584098253;2.0315999109049696;0.9553188468925821;0.517019319227231;0.5077770998943619;0.7074400681532962
17;frozenset({'TRAAALR03ALB2', 'TRAAR6EHDB2'});frozenset({'TRAALR6ALB2'});0.13108761448056286;0.37172280963798593;0.11414645650721277;0.8707646176911545;2.3425105888421975;1.0;0.06541820014375681;4.861495196884731;0.6595688996841913;0.2936893203883495;0.7943019668844258;0.5889193713389684
18;frozenset({'TRAAR6EHDB2', 'TRAALR6ALB2'});frozenset({'TRAAALR03ALB2'});0.15313863448763806;0.305609056247789;0.11414645650721277;0.7453798767967146;2.438997999432182;1.0;0.06734590294637058;2.727164432317151;0.6966849447661279;0.3312421580928482;0.6333187731000348;0.55944234997392
19;frozenset({'TRAAR6EHDB2'});frozenset({'TRAAALR03ALB2', 'TRAALR6ALB2'});0.2264061947250501;0.24091034157462363;0.11414645650721277;0.5041666666666667;2.092756431174199;1.0;0.0596028628013902;1.5309371262360532;0.6749812400347527;0.3232053422370618;0.34680531103286383;0.48898984336759665
20;frozenset({'TRAAAR03EHDB2', 'TRAAR6EHDB2'});frozenset({'TRAALR6ALB2'});0.16925435320938642;0.37172280963798593;0.12122165009237058;0.7162099396191361;1.9267312122079352;1.0;0.05830594637391741;2.2138801814229407;0.5789813615577949;0.2887910853076131;0.5483043714871397;0.5211587923748636
21;frozenset({'TRAAAR03EHDB2', 'TRAALR6ALB2'});frozenset({'TRAAR6EHDB2'});0.13195236036319327;0.2264061947250501;0.12122165009237058;0.9186773905272565;4.057651300764571;1.0;0.09134681829755147;9.512653495633726;0.868099833885053;0.5111884634510194;0.8948768605459038;0.7270470285969616
22;frozenset({'TRAAR6EHDB2', 'TRAALR6ALB2'});frozenset({'TRAAAR03EHDB2'});0.15313863448763806;0.19299555835069376;0.12122165009237058;0.7915811088295688;4.101550914405919;1.0;0.09166657382436606;3.8720311633814006;0.8929322062621021;0.5389723872771759;0.741737615787495;0.7098435075716072
23;frozenset({'TRAAAR03EHDB2'});frozenset({'TRAAR6EHDB2', 'TRAALR6ALB2'});0.19299555835069376;0.15313863448763806;0.12122165009237058;0.6281059063136456;4.101550914405919;1.0;0.09166657382436606;2.277157340999834;0.937032993225707;0.5389723872771759;0.5608559926909008;0.7098435075716072
24;frozenset({'TRAAR6EHDB2'});frozenset({'TRAAAR03EHDB2', 'TRAALR6ALB2'});0.2264061947250501;0.13195236036319327;0.12122165009237058;0.5354166666666667;4.057651300764571;1.0;0.09134681829755147;1.8684433498908843;0.9740926137654341;0.5111884634510194;0.46479511939262214;0.7270470285969616
